"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989361057","Calliergon richardsonii","Herbarium record",,"1951","70.65","-156.916667"
"1988743848","Calliergon richardsonii","Herbarium record",1977-07-19,"1977","56.58333","-126.41667"
"1988918228","Calliergon richardsonii","Herbarium record",,"1951","70.65","-156.91667"
"1989258753","Calliergon richardsonii","Herbarium record",1981-07-18,"1981","58.33333","-129.5"
"1988625533","Calliergon richardsonii","Herbarium record",,"1951","70.65","-156.916667"
"1988668109","Calliergon richardsonii","Herbarium record",1960-08-04,"1960","69.366667","-152.133333"
"1930797810","Calliergon richardsonii","Herbarium record",1953-08-12,"1953","68.22","-151.62"
"1931092151","Calliergon richardsonii","Herbarium record",1960-07-15,"1960","68.88","-164.58"
"1930779271","Calliergon richardsonii","Herbarium record",1951-07-11,"1951","70.65","-156.92"
"1927825318","Calliergon richardsonii","Herbarium record",1960-07-13,"1960","68.92","-161.17"
"1928915373","Calliergon richardsonii","Herbarium record",1951-07-12,"1951","70.65","-156.92"
"1929123331","Calliergon richardsonii","Herbarium record",1952-07-28,"1952","69.37","-145.05"
"1929122068","Calliergon richardsonii","Herbarium record",1981-07-01,"1981","60.53","-150.4"
"1930856372","Calliergon richardsonii","Herbarium record",1973-06-21,"1973","69.37","-152.17"
"1930480778","Calliergon richardsonii","Herbarium record",1977-07-19,"1977","56.58","-126.42"
"1927988600","Calliergon richardsonii","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1929370931","Calliergon richardsonii","Herbarium record",1983-08-17,"1983","66.58","-151.92"
"1928448545","Calliergon richardsonii","Herbarium record",1951-07-24,"1951","69.47","-151.5"
"1931045008","Calliergon richardsonii","Herbarium record",1904-06-20,"1904","47.60621","-122.332071"
"1930126487","Calliergon richardsonii","Herbarium record",1975-09-24,"1975","66.97","-156.13"
"1929416866","Calliergon richardsonii","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1931337960","Calliergon richardsonii","Herbarium record",1951-07-23,"1951","69.47","-151.5"
"1929859119","Calliergon richardsonii","Herbarium record",1975-09-03,"1975","66.95","-156.83"
"1929934295","Calliergon richardsonii","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1927904000","Calliergon richardsonii","Herbarium record",1977-06-30,"1977","70.37","-148.53"
"1930078963","Calliergon richardsonii","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1930323181","Calliergon richardsonii","Herbarium record",1975-08-14,"1975","70.25","-148.58"
"1930635620","Calliergon richardsonii","Herbarium record",1966-07-04,"1966","68.1","-165.75"
"1927834280","Calliergon richardsonii","Herbarium record",1952-07-13,"1952","68.72","-156.5"
"1931136339","Calliergon richardsonii","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1931006301","Calliergon richardsonii","Herbarium record",1972-07-07,"1972","68.9","-161.33"
"1927878235","Calliergon richardsonii","Herbarium record",1974-06-30,"1974","69.37","-152.13"
"1931114404","Calliergon richardsonii","Herbarium record",1951-07-11,"1951","70.65","-156.92"
"1929390866","Calliergon richardsonii","Herbarium record",1951-07-24,"1951","69.47","-151.5"
"1929527968","Calliergon richardsonii","Herbarium record",1966-06-23,"1966","68.88","-161.17"
"1929998367","Calliergon richardsonii","Herbarium record",1981-07-18,"1981","58.33","-129.5"
"1929421564","Calliergon richardsonii","Herbarium record",1981-07-25,"1981","60.08","-150.52"
"1929675088","Calliergon richardsonii","Herbarium record",2007-09-27,"2007","44.4647","-120.2317"
"1930417977","Calliergon richardsonii","Herbarium record",1981-07-01,"1981","60.53","-150.4"
